,IsWinner,ProductId,TimeOfOfferChange,IsFeaturedMerchant,IsFulfilledByAmazon,ListingPrice,SellerFeedbackRating,SellerFeedbackCount,SellerId,ShippingPrice,ShippingTime_minHours,ShippingTime_maxHours,ShipsFromCountry,ShipsFromState
0,0,-4885255916155087854,2016-02-04T04:26:52.136Z,1,1,94.0,0,0,1207135739277432339,0.0,672,1008,,
1,1,-4885255916155087854,2016-02-04T04:26:52.136Z,1,0,107.35,95,4078,-1789487307643024748,0.0,48,72,CA,ON
2,0,-4885255916155087854,2016-02-04T04:26:52.136Z,1,0,100.46,98,478,5452082314297826053,6.99,24,48,CA,ON
3,0,-4885255916155087854,2016-02-04T04:26:52.136Z,1,0,99.24,95,4384,-2572277640783537773,11.67,24,48,CA,ON
4,0,-4885255916155087854,2016-02-04T04:26:52.136Z,0,0,109.48,94,105,-8704029307873847986,8.99,24,48,CA,ON
5,0,-4885255916155087854,2016-02-04T04:26:52.136Z,0,0,116.7,67,9,1929046423112965216,6.98,24,48,CA,AB
6,0,-4885255916155087854,2016-02-04T04:26:52.136Z,1,0,124.69,100,4601,5657218934756058127,0.0,24,48,CA,ON
7,0,-4885255916155087854,2016-02-04T04:26:52.136Z,1,0,120.08,96,1790,1788801474825896666,9.98,96,120,US,NY
8,0,-4885255916155087854,2016-02-04T04:26:52.136Z,1,0,125.73,91,10606,-1177408302343430963,5.0,24,48,,
9,0,-4885255916155087854,2016-02-04T04:26:52.136Z,1,0,121.27,96,1790,1788801474825896666,9.98,96,120,US,NY
10,0,-4885255916155087854,2016-02-04T04:26:52.136Z,1,0,133.12,96,35264,6791568714796518563,0.0,96,120,CA,QC
11,0,-4885255916155087854,2016-02-04T04:26:52.136Z,1,0,123.77,96,7090,-373508113925093038,12.95,24,48,CA,ON
12,0,-4885255916155087854,2016-02-04T04:26:52.136Z,1,0,139.58,94,178,-8070122054366980138,0.0,24,48,US,NV
13,0,-4885255916155087854,2016-02-04T04:26:52.136Z,1,0,136.71,100,3,750763505746428351,5.54,24,48,HK,
14,0,-4885255916155087854,2016-02-04T04:26:52.136Z,1,0,131.25,94,337,2760162070632027753,14.99,24,48,CA,QC
15,0,-4885255916155087854,2016-02-04T04:26:52.136Z,1,0,140.26,96,41419,9012427554787096099,7.0,24,48,,
16,0,-4885255916155087854,2016-02-04T04:26:52.136Z,1,0,145.93,100,35,5554217688069566383,1.34,96,120,JP,
17,0,-4885255916155087854,2016-02-04T04:26:52.136Z,1,0,150.27,100,20,9008330480532653624,0.0,72,96,JP,
